director_name,director_score
John Curran,4921857
René Féret,706622
Leon Ichaso,18272447
Roland Joffé,5734196
Kevin Munroe,27657975
John Duigan,15593
Dean Parisot,64066593
Callie Khouri,45127693
Eli Roth,24002936
Kevin Costner,37961035
Stanley Tong,32333860
Tony Maylam,5430822
Tuck Tucker,13684949
Finn Taylor,464655
Claudia Llosa,52961
John Woo,95491372
Wallace Wolodarsky,10198766
Herbert Ross,80000000
Takao Okawara,10037390
Robert Stromberg,241407328
François Ozon,6590965
Brad Silberling,61968358
Michael Hoffman,15812603
Chris Kentis,21528056
James Gray,8644778
Dagur Kári,19959
Mike Leigh,3446448
Nancy Walker,2000000
